ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
199953,2023-24,IC2023_AY,2572,2572,2500,5072,5072,,,10450,4060,4060,TRUE,TRUE,80,,clean
199962,2023-24,IC2023_AY,40196,40196,2250,42446,42446,10676,5850,13500,7650,7650,TRUE,TRUE,100,,clean
199971,2023-24,IC2023_AY,9420,9420,800,10220,10220,6400,17133,12957,21042,11687,TRUE,TRUE,100,,clean
199999,2023-24,IC2023_AY,6735,6735,1690,8425,8425,11484,3492,10800,4831,4761,TRUE,TRUE,100,,clean
200004,2023-24,IC2023_AY,4532,4532,693,5225,5225,11764,3330,12322,3330,3330,TRUE,TRUE,100,,clean
200013,2023-24,IC2023_AY,12715,12715,108,12823,12823,,,9936,5787,5787,TRUE,TRUE,80,,clean
200022,2023-24,IC2023_AY,5195,5195,1100,6295,6295,8300,3400,8300,3400,3400,TRUE,TRUE,100,,clean
200059,2023-24,IC2023_AY,9118,9118,1200,10318,10318,7740,3500,7740,3500,3500,TRUE,TRUE,100,,clean
200086,2023-24,IC2023_AY,3870,3870,1500,5370,5370,,,10440,3500,3500,TRUE,TRUE,80,,clean
200156,2023-24,IC2023_AY,24820,24820,1300,26120,26120,8920,3200,8920,3200,3200,TRUE,TRUE,100,,clean
200192,2023-24,IC2023_AY,5478,5478,1000,6478,6478,9149,3900,9149,3900,3900,TRUE,TRUE,100,,clean
200208,2023-24,IC2023_AY,3950,3950,1400,5350,5350,,,5750,3800,3200,TRUE,TRUE,80,,clean
200217,2023-24,IC2023_AY,21468,21468,1096,22564,22564,8506,3188,13070,3188,3188,TRUE,TRUE,100,,clean
200226,2023-24,IC2023_AY,7935,7935,1000,8935,8935,9088,3100,9088,3100,3100,TRUE,TRUE,100,,clean
200253,2023-24,IC2023_AY,8634,8634,1100,9734,9734,8058,3902,8058,3902,2558,TRUE,TRUE,100,,clean
200280,2023-24,IC2023_AY,10951,10951,800,11751,11751,11046,3446,11046,3446,3446,TRUE,TRUE,100,,clean
200305,2023-24,IC2023_AY,5928,5928,1000,6928,6928,7658,3400,7658,3400,3400,TRUE,TRUE,100,,clean
200314,2023-24,IC2023_AY,5347,5347,1000,6347,6347,8970,3550,8970,3550,3550,TRUE,TRUE,100,,clean
200332,2023-24,IC2023_AY,10857,10857,800,11657,11657,9565,3476,9565,3476,5165,TRUE,TRUE,100,,clean
200341,2023-24,IC2023_AY,4938,4938,1100,6038,6038,8581,3400,11164,3400,2508,TRUE,TRUE,100,,clean
200466,2023-24,IC2023_AY,4010,4010,1200,5210,5210,5850,3530,8820,3530,3530,TRUE,TRUE,100,,clean
200484,2023-24,IC2023_AY,18762,18762,1000,19762,19762,7282,4500,8300,5150,2750,TRUE,TRUE,100,,clean
200527,2023-24,IC2023_AY,2626,2626,400,3026,3026,,,6000,10500,7900,TRUE,TRUE,80,,clean
200554,2023-24,IC2023_AY,4252,4252,1400,5652,5652,7168,2070,6300,2350,1950,TRUE,TRUE,100,,clean
